iters,fevals,fitness
2030,7563296,3654.456467062966
2040,7564337,3617.507829027091
2050,7565367,3617.507829027091
2060,7566405,3643.8557396221818
2070,7567448,3646.530543879415
2080,7568484,3643.1280774126394
2090,7569530,3654.456467062966
2100,7570572,3654.456467062966
2110,7571612,3662.2687763138974
2120,7572648,3665.7582301074076
2130,7573678,3662.2687763138974
2140,7574708,3680.743095331835
2150,7575746,3672.195623946781
2160,7576789,3654.456467062966
2170,7577826,3683.051626008144
2180,7578867,3668.908656110475
2190,7579916,3654.456467062966
2200,7580950,3650.9403866635703
2210,7581993,3680.743095331835
2220,7583033,3667.7109449013924
2230,7584070,3669.844223836772
2240,7585122,3667.789112984029
2250,7586161,3680.743095331835
2260,7587203,3667.7109449013924
2270,7588234,3643.5575955679033
2280,7589267,3645.055753852899
2290,7590304,3610.86799764522
2300,7591345,3625.7751529120055
2310,7592386,3626.7266749394544
2320,7593425,3635.8231632677143
2330,7594466,3648.0840071318476
2340,7595499,3627.8566385092063
2350,7596538,3607.682923222725
2360,7597575,3635.0681112681045
2370,7598612,3644.0086097905723
2380,7599653,3623.4152327545535
2390,7600703,3652.504797250102
2400,7601743,3666.290954699033
2410,7602781,3631.758115448879
2420,7603831,3643.5575955679033
2430,7604873,3643.5575955679033
2440,7605921,3611.8218220777635
2450,7606964,3642.1793686321334
2460,7608003,3639.037666288286
2470,7609049,3635.7346357117294
2480,7610095,3651.541543014139
2490,7611140,3641.6510949275444
2500,7612172,3637.926187594501
2510,7613211,3625.089135625525
2520,7614246,3625.089135625525
2530,7615289,3625.089135625525
2540,7616331,3643.5634546434626
2550,7617360,3615.461048443006
2560,7618394,3616.651142159979
2570,7619432,3630.775099278079
2580,7620470,3641.6510949275444
2590,7621516,3648.1078679195934
2600,7622558,3657.0617275469476
2610,7623600,3649.6179079956833
2620,7624640,3628.516152774915
2630,7625689,3630.4597127898983
2640,7626738,3625.089135625525
2650,7627780,3652.314581885134
2660,7628815,3612.621425130275
2670,7629855,3608.4249369585987
2680,7630897,3627.928758938256
2690,7631939,3597.9996009579195
2700,7632980,3560.9990147209373
2710,7634024,3573.612509301554
2720,7635064,3569.9743036281116
2730,7636099,3569.6709232365615
2740,7637140,3578.6375702207342
2750,7638173,3577.215158114307
2760,7639219,3603.8171728713564
