iters,fevals,fitness
1270,44146,3053.9317148243335
1280,44147,3053.9317148243335
1290,44148,3053.9317148243335
1300,44149,3053.9317148243335
1310,44150,3053.9317148243335
1320,44151,3053.9317148243335
1330,44152,3053.9317148243335
1340,44153,3053.9317148243335
1350,44154,3053.9317148243335
1360,44155,3053.9317148243335
1370,44156,3053.9317148243335
1380,44157,3053.9317148243335
1390,44158,3053.9317148243335
1400,44159,3053.9317148243335
1410,44160,3053.9317148243335
1420,44161,3053.9317148243335
1430,44162,3053.9317148243335
1440,44163,3053.9317148243335
1450,44164,3053.9317148243335
1460,44165,3053.9317148243335
1470,44166,3053.9317148243335
1480,44167,3053.9317148243335
1490,44168,3053.9317148243335
1500,44169,3053.9317148243335
1510,44170,3053.9317148243335
1520,44171,3053.9317148243335
1530,44172,3053.9317148243335
1540,44173,3053.9317148243335
1550,44174,3053.9317148243335
1560,44175,3053.9317148243335
1570,44176,3053.9317148243335
1580,44177,3053.9317148243335
1590,44178,3053.9317148243335
1600,44179,3053.9317148243335
1610,44180,3053.9317148243335
1620,44181,3053.9317148243335
1630,44182,3053.9317148243335
1640,44183,3053.9317148243335
1650,44184,3053.9317148243335
1660,44185,3053.9317148243335
1670,44186,3053.9317148243335
1680,44187,3053.9317148243335
1690,44188,3053.9317148243335
1700,44189,3053.9317148243335
1710,44190,3053.9317148243335
1720,44191,3053.9317148243335
1730,44192,3053.9317148243335
1740,44193,3053.9317148243335
1750,44194,3053.9317148243335
1760,44195,3053.9317148243335
1770,44196,3053.9317148243335
1780,44197,3053.9317148243335
1790,44198,3053.9317148243335
1800,44199,3053.9317148243335
1810,44200,3053.9317148243335
1820,44201,3053.9317148243335
1830,44202,3053.9317148243335
1840,44203,3053.9317148243335
1850,44204,3053.9317148243335
1860,44205,3053.9317148243335
1870,44206,3053.9317148243335
1880,44207,3053.9317148243335
1890,44208,3053.9317148243335
1900,44209,3053.9317148243335
1910,44210,3053.9317148243335
1920,44211,3053.9317148243335
1930,44212,3053.9317148243335
1940,44213,3053.9317148243335
1950,44214,3053.9317148243335
1960,44215,3053.9317148243335
1970,44216,3053.9317148243335
1980,44217,3053.9317148243335
1990,44218,3053.9317148243335
2000,44219,3053.9317148243335
2010,44220,3053.9317148243335
2020,44221,3053.9317148243335
2030,44222,3053.9317148243335
2040,44223,3053.9317148243335
2050,44224,3053.9317148243335
2060,44225,3053.9317148243335
2070,44226,3053.9317148243335
2080,44227,3053.9317148243335
2090,44228,3053.9317148243335
2100,44229,3053.9317148243335
2110,44230,3053.9317148243335
2120,44231,3053.9317148243335
2130,44232,3053.9317148243335
2140,44233,3053.9317148243335
2150,44234,3053.9317148243335
2160,44235,3053.9317148243335
2170,44236,3053.9317148243335
2180,44237,3053.9317148243335
2190,44238,3053.9317148243335
2200,44239,3053.9317148243335
2210,44240,3053.9317148243335
2220,44241,3053.9317148243335
2230,44242,3053.9317148243335
2240,44243,3053.9317148243335
2250,44244,3053.9317148243335
2260,44245,3053.9317148243335
2270,44246,3053.9317148243335
2280,44247,3053.9317148243335
2290,44248,3053.9317148243335
2300,44249,3053.9317148243335
2310,44250,3053.9317148243335
2320,44251,3053.9317148243335
2330,44252,3053.9317148243335
2340,44253,3053.9317148243335
2350,44254,3053.9317148243335
2360,44255,3053.9317148243335
2370,44256,3053.9317148243335
2380,44257,3053.9317148243335
2390,44258,3053.9317148243335
2400,44259,3053.9317148243335
2410,44260,3053.9317148243335
2420,44261,3053.9317148243335
2430,44262,3053.9317148243335
2440,44263,3053.9317148243335
2450,44264,3053.9317148243335
2460,44265,3053.9317148243335
2470,44266,3053.9317148243335
